text,label
 날씨  전국 큰 일교차 유의 중서부 공기질  나쁨 ,Culture
발에 물만 대충 휙   무좀  생깁니다,Culture
 기자수첩  사력 다했는데  갈 곳 잃은 국산 코로나 백신,Culture
대구 경북 다시 일교차 큰 날씨 대체로 구름 많음,Culture
 날씨  쌀쌀한 출근길    도 안팎  큰 일교차 주의,Culture
          프랑스 서부의 숨은 보물 브르타뉴  ,Culture
부품    불량에 벤츠 기아 테슬라 등  만    대 리콜 실시,Culture
 출근길 날씨  어제 아침보다 쌀쌀 기온 일교차 커,Culture
아침에 어떤 달걀  삶은    구운    프라이 성분 비교,Culture
당근은 기름에 볶고  마늘은 구워야 건강에 좋아  양파는 ,Culture
 날씨  출근길 어제보다 쌀쌀 큰 일교차 안개 주의,Culture
    년 해외여행 트렌드  말로만 아닌 진짜  최저가  원해 ,Culture
박카스 대신  박카스맛 젤리  먹기 전에 짚어볼 것들,Culture
초겨울부터 영하권 맹추위 남부 가뭄 장기화 우려,Culture
 날씨클릭  밤사이 기온  뚝   아침 쌀쌀 한낮 온화 안개 주의,Culture
뱃살만 빼는 운동법  잘못된 다이어트 속설  ,Culture
김종길의 다석 늙은이     읽기    낌새 없는데 꾀,Culture
식후에  당신은 이제껏 녹차를 잘못 마셨다 ,Culture
벤츠 기아 테슬라 등  개사   개 차종  만    대 리콜,Culture
내가 발목을 자꾸  삐끗 하는 몰랐던 원인,Culture
   월드컵 첫 경기날 부터 비닐봉투 금지 편의점 식당 초비상,Culture
전국 맑고 일교차 커 수도권 미세먼지  나쁨 ,Culture
 나홀로 세계여행 미 올림픽국립공원  태평양과 빙하와 우림이 공존  거인의 땅 ,Culture
 날씨  오늘 전국 맑고 예년보다 온화   큰 일교차 유의,Culture
 큰 차만 인기   저력 과시한 아반떼 신형으로 준중형 대표 굳힌다,Culture
 현대차    점유율      최고의 한해  예약    는  시험대  ,Culture
 반갑다  네팔   히말라야가 자원인 네팔  무분별한 난개발에 시름,Culture
글로벌 자동차상 휩쓰는 현대차그룹 전기차 국내선 테슬라 제쳤다,Culture
기아 카니발   주행 중 시동 꺼짐  리콜,Culture
     세 청소년   가 백신 추가접종 가능성은 ,Culture
  년전 호수 풀어놓은 금붕어      초대형  자랐다,Culture
아침에 일어나기 힘든데  밤엔 쌩쌩   이 질환  때문 ,Culture
 오늘 날씨  출근길  안개주의보    수도권 미세먼지  나쁨 ,Culture
 헬스   환절기에 콜록콜록  기침가래약 용각산    용각산쿨은 ,Culture
늦가을 절정  경주서 보소,Culture
일상의 시름  강진서 푸소,Culture
호텔 결제하고 갔는데 추가금 내라고  깨알글씨 꼼수에 당했다,Culture
 더사주 오늘의 띠별 운세    월   일 목요일 음력   월 일  ,Culture
 오늘의     서로 사랑하십시오,Culture
 오늘의 설교  다윗의 삶과 죽음이 주는 교훈,Culture
      플라자  남미  팝 팬덤 거점 칠레에서 벌어진 일,Culture
메카에만    여명 성도  이슬람 심장이 뚫렸다,Culture
 차 접종 후    개월이면 효과 절반   오미크론 대응  가 백신  추가 접종을,Culture
 한평생 험지서 발로 뛰며 복음 전한 선배들  당신들은 영웅입니다  은퇴 목회자 발 씻긴 후 입 맞추자  세족식 눈물바다,Culture
근교산 그너머        창원 상투봉 화개산,Culture
  분 넘는 거리   분 만에 도착  의사 직접 탑승해 응급수술도 가능,Culture
메시야  메시다  알고보니 짝퉁 메시     명과 잠자리,Culture
코로나 백신 맞으려니 종류 여러 개  뭐 맞지 ,Culture
갑자기 콩닥콩닥 사랑 아니고       ,Culture
 시선집중   우울증 겪을 때 힘든 건 내가 무엇 때문에 힘든지 모른다는 것 ,Culture
 건강한 우리집  아침 입 냄새 유독 심하다면 잠들기 직전  이것  꼭 실천해보세요,Culture
 건강한 우리집  사랑니 방치하면 턱뼈 손상 우려  입 벌릴 때  딱딱  소리는 턱관절 이상 신호,Culture
추운 날에는  당뇨발  특히 조심  예방법은 ,Culture
한전         지분 전량 매각 의결    언론탄압  반발,Culture
 생활날씨  내일 쌀쌀한 출근길 수도권 등 중서부 공기 탁해,Culture
자동차도 월동 준비  타이어에     원 동전  끼워보세요,Culture
  월 시작부터 강추위    올겨울  예년보다 추울 듯 ,Culture
 뉴스  날씨  내일 출근길  쌀쌀   안개 미세먼지 주의,Culture
암  예방  위해서는 잡곡밥에 채소를  암 이미 생겼다면 ,Culture
목숨 앗아간 안면거상술이란    러시아 여성 수술 후 숨져,Culture
 날씨  내륙 짙은 안개 유의 내일 맑고 일교차 커,Culture
휴대폰처럼 차도 올려놓기만 하면 끝 ,Culture
 예쁘면 끌고가  시위대  성폭행  참다 못한 의료진이 폭로,Culture
 기상센터  올겨울  얼마나 추울까  다음 주부터  영하권 ,Culture
신경과 전문의  편두통     겪어 일반인보다  배 이상,Culture
새 변이 또 출현했는데  코로나  가 백신 맞을 필요 있나,Culture
 날씨  아침 더 쌀쌀 낮 기온 껑충  일교차 조심,Culture
 소리 없는 뼈도둑  골다공증 때문에 매일      명 넘게 병원 찾아,Culture
아찔한 단풍 속 특별한 가을 산책,Culture
고혈압 약  복용하기 시작하면 평생 먹어야 할까 ,Culture
        우리가 원했던 게 이거잖아  마블 여성 캐릭터 총정리,Culture
 이 음식  섭취  또렷한 기억력 유지에 도움,Culture
 날씨  내일 큰 일교차 유의 밤사이 내륙 짙은 안개,Culture
원두 즉석 디카페인 중 심혈관에 좋은 커피는,Culture
뇌를 즐겁게 하는 음식들   영양 정신학 을 아시나요,Culture
 날씨  경남 내일 새벽 아침 안개 주의 기온 차 커요 ,Culture
 날씨  전북  내일 초미세먼지  나쁨  아침 짙은 안개 유의,Culture
 날씨  충북 내일 맑고 온화 공기질 탁해,Culture
 날씨  대구 경북 내일 일교차   도 안팎 출근길 안개 주의,Culture
 영상  악뮤 가 다녔던 몽골 교회  서른 살 됐다,Culture
다운증후군과 알츠하이머병 연관성 밝혀져  연구 ,Culture
 날씨  제주 내일 아침 기온  아침 최저   도,Culture
 퇴근길 날씨  내일 아침 기온 내려가 서쪽 초미세먼지 ,Culture
엘사와 안나도 부러워 할 얼음세상  여기 다 있네 ,Culture
매운 초겨울    월부터 영하권 추위,Culture
 날씨  내일 아침 오늘보다 쌀쌀  큰 일교차  유의,Culture
오진 위험  맹장염     가 자동으로 진단한다  정확도는 ,Culture
 날씨  내일 아침 쌀쌀   일교차  ,Culture
한파시즌 앞두고 개나리 만개 올 겨울 이상고온 현상,Culture
 서운한 일 있어  밥값  만원 넘는데  축의금  만원 내고 들은 말,Culture
건조해진 겨울 피부  촉촉 보습법,Culture
월드컵 시즌이 돌아왔다 건강 지키며 응원하는 방법은 ,Culture
 펫플스토리   살찌는 겨울  몸무게 늘지 않도록 열심히 놀아 주세요 ,Culture
 대한민국    광화문광장서 카타르 월드컵 응원 함성 울려퍼진다,Culture
  화학 고려아연      억대 주식 맞교환  미국 배터리시장 주도권 잡자 ,Culture
 날씨  내일 아침 기온  뚝  오전까지 짙은 안개,Culture
자원봉사만  천 명    양복 입은 노신사도 감자를 깎는 이유,Culture
백경란  선구매한  국산  호 백신  폐기해야 할 수도 ,Culture
 침묵의 살인자  고혈압 약 끊을 수 있을까 ,Culture
대기오염에 짓눌린 지구 신간  공기 전쟁 ,Culture
내일 경기 북동부 등 아침 영하 낮엔 온화해 일교차      도,Culture
수원 택시부제   월  일 전면 해제 국토부 기준에 따라 최종 확정,Culture
그때도 지금도 여성들은 연대한다     년 뒤 세상은 달라야 하니까    여성백년사  이혜진        인터뷰 ,Culture
   친환경 강화에 코너 몰린 슈퍼카,Culture
 퇴근길 날씨  비 그치고 맑아져 내일 아침 기온 내려가,Culture
온화함 벗고  욕망 덩어리  분한 최원영   금수저 슈룹 모두 욕망 캐릭터 ,Culture
 날씨  밤사이 내륙 짙은 안개 출근길 쌀쌀,Culture
카타르 월드컵에 퍼진  뇌진탕  주의보  얼마나 위험하길래 ,Culture
또  충전 대란  벌어질라 화물연대 총파업 예고에 바짝 긴장,Culture
 보니하니 다이슨 에어랩  고가에도 반응 좋은 이유,Culture
기름 없이 바싹 구우면    호떡 부럽지 않습니다  두 여자의 끼니 ,Culture
직장선배 결혼식 축의금  만원 했더니  밥값 얼만 줄 아니  ,Culture
이소룡  물 많이 마셔서 사망   물 중독  어떤 질환이길래 ,Culture
 내일 날씨  낮 최고   도  월드컵 거리 응원  이상  ,Culture
편의점 일회용품 사용규제 앞두고 오락가락에 현장 혼란,Culture
 라임라이트 용의자 된 늙은 형사  낡은 신념을 버려라,Culture
조기 발견 어려운  구강암  정기 스케일링 통해 검진 필수,Culture
미래  주도권 잡자   치열한 전기차 타이어 시장,Culture
삽시간의 황홀 느끼려면  제주도 여길 가세요,Culture
강원 추위 언제    월부터 본격 추위  내년  월까지 평년과 비슷,Culture
전동화시대엔 유압 브레이크 사라진다  운전자의 물리적 개입 필요없어 ,Culture
뒷골목 벽화가 유명한 말레이시아 세렘반,Culture
화장실서 스마트폰 보기가 습관인 사람   이 병  주의,Culture
   이슈  한국 영화   년 만에 중국    서 본다 한한령 이전으로 갈 수 있을까,Culture
한국에는 없다 미국 스타벅스가 선보인 라떼는   식탐 ,Culture
  사이트 기무라 마세라티 아 태 대표     세계  위 시장 그레칼레로  세대 공략 ,Culture
 벤츠    잡을         내달   온다  자존심 건 플래그십 각축전 ,Culture
골프 테니스 스키 열풍 속 무릎 관절 지키는 방법은 ,Culture
경북 울진 영덕에   월 역대 최다 강수량    비 그친 뒤 아침 서늘해요,Culture
부마항쟁 기념식에 가수 섭외해 놓고 본인 곡 대신  희망찬 곡 부르라  한 행안부,Culture
 할인 많이 해서 샀는데  블프 쇼핑 주의할 점은,Culture
 어쩌다빌런   정신과 찾는 흔한 증상  완벽주의적인 성향  무대공포증 ,Culture
 이거 실화냐   제네시스  무려   개월 대기  이유 있었다,Culture
전현직 대통령 관심    바사 코로나 백신 생산 왜 중단됐나,Culture
 주역 세상      뻣뻣한 리더십으로는 무엇도 이룰 수 없다 ,Culture
 아이오닉  벤츠       있습니다      렌터카  전기차 물량확보  속도 ,Culture
 날씨  밤까지 동해안 비 계속 내일 큰 일교차,Culture
 날씨  내일도 큰 추위 없어   큰 일교차 주의,Culture
전기차 무선 충전 시대  어떤 모습일까,Culture
 스키타려고 예약했는데 수영만   봄 같은 겨울  언제까지 ,Culture
르노코리아    월 말까지   할부 금리      프로모션 실시,Culture
심정지 경험한 축구선수 에릭센     분 완주  가능했던 이유,Culture
 여행만리  마음은 부자  되는 소박한 지리산둘레길,Culture
  팝 불모지 가 뒤집어졌다 인도 조회수       폭발 비결은,Culture
갑자기 눈앞이 뿌옇게    눈 속 암  안구 내 림프종 ,Culture
 날씨  예년기온 웃돌며 선선   내일도 맑고 큰 일교차,Culture
태안 바다에서 나온  보물  고려청자들  한자리에 모인다,Culture
성매매 여성  불처벌 은 어떻게 페미니즘 선언이 되는가 플랫 ,Culture
에어서울  약  년 만에 일본 다카마쓰 노선 운행 재개,Culture
 이 차  하루    잔  혈관 건강하게 한다,Culture
 날씨  한낮 평년 기온 웃돌아 밤까지 동해안  비 ,Culture
 신팔도명물 겨울 바다가 주는 선물  포항 구룡포 과메기 ,Culture
 무결점 신차 만들자  렘펠 한국지엠 사장  창원공장 찾아 품질 점검,Culture
안락사가 현대판 고려장이 될 수 있는 이유  스위스 안락사 동행  그후 못다한 이야기 ,Culture
커피 자주 마시는 사람  이것 생길 위험 줄어든다,Culture
 경기 앞두고 월드컵 응원엔 빠질 수 없는 치맥  할인 ,Culture
 소설  위대한 알코올중독자       술과 경제,Culture
원숭이두창 확진 소식에 진단키트 콘돔 개발사 주가       바이오 ,Culture
아우디    트론 라인업 확장  수입 전기차 시장 선도 ,Culture
새 차 주행거리가        이번엔  로드탁송  안 한다,Culture
     올인  한국지엠   선택과 집중  전략 통할까,Culture
손 씻기  휴대전화 소독  가습기 감기 예방 및 대처법,Culture
황반변성 환자  심혈관질환도 있을 확률 커,Culture
새벽 월드컵 응원   후유증 주의보 ,Culture
 날씨  비 그친 뒤 내륙 맑고 선선   동해안 빗방울,Culture
동절기 추가 접종 간격  개월  개월로 단축,Culture
한국   사장  창원서 생산될 신차  세계 최고 품질 목표 ,Culture
    콜레스테롤  정말 건강에 이로울까   연구 ,Culture
 날씨  밤까지 동해안 비 한낮 비교적 온화,Culture
코로나   위중증 사망자 계속 늘어 의료계  개량백신 추가접종 필요 ,Culture
나이 들면 여성 고혈압 많은 이유   조절 방법은 ,Culture
 강남 비키니 라이딩  남녀  커플 아냐 그날 처음 만난 사이 ,Culture
 약손   수면장애와 코골이  불면증과 수면행동장애,Culture
종이에  슥  베인 상처 방치  괴사성 근막염  위험,Culture
사망 줄인다던 안전운임 반전 정부  화물연대에 맞선 이유,Culture
원숭이두창 국내 전파 처음  확진자는 누구 ,Culture
손흥민 이어 황희찬도 부상   햄스트링  손상되면 무슨 문제 ,Culture
눈물의 세족식 원로 목사님들은 왜 울음을 터뜨렸나,Culture
 날씨  동해안 밤까지 가을비   서쪽 맑지만  일부 공기 탁해,Culture
 선배 결혼식 축의금  만원  제가 잘못했나요    넷만세 ,Culture
빈속에 모닝커피 한 잔  몸에  이런 문제  일으켜,Culture
  월 코앞인데 모기 초파리 보란듯이 윙윙 왜 ,Culture
    년 사라진 꿩비둘기  사냥꾼이 찾아냈다,Culture
지프   올 뉴 그랜드 체로키  라인업에      추가 사전계약 개시,Culture
아랫배를 편안하게 만드는 식품  ,Culture
 요란법석 생일잔치 왜 하냐고    함께라서 ,Culture
로베르토 렘펠 한국   사장  신차 생산 예정  창원공장  점검,Culture
의협    세 이상 기저질환자  반드시  가 백신 추가 접종 권고 ,Culture
 고용세습  다잡겠다는 정부  첫발 떼기도 전에 공염불 우려,Culture
 날씨  서쪽  맑고 선선하지만 일부 공기 탁해   동해안 밤까지 비,Culture
 올 뉴 그랜드 체로키  출시 임박  하이브리드 얹고 친환경 대응,Culture
두꺼비 벼루 사자 향로 태안 바다서 나온 고려청자 한자리에,Culture
르노코리아    대  할부상품 선봬,Culture
그럼에도                               ,Culture
 세대    월부터 크리스마스 준비 들어갑니다,Culture
스트레스 날리는 과일 채소 가장 효과적인 색깔은 ,Culture
월드컵에 마트 할인전도 치열 두마리 치킨  수입맥주 특가,Culture
 사춘기와갱년기  사춘기가 끝났다는 증거  이걸 확인해 보세요,Culture
몽골 사람이 생각하는  세상에서 기가 제일 센 곳,Culture
단풍국은 다르네 달달한 추억 선사하는  메이플 시럽 데이 ,Culture
르노  이달말까지 전차종   대 전액할부 행사,Culture
고혈압 약  정말  평생  먹어야 할까 ,Culture
 날씨  낮 동안 예년보다 온화 동해안 밤까지 비,Culture
정국이 열어젖힌 카타르에     필더리듬 울려퍼진다,Culture
밤에  이런  영양 보충제는 오히려 독,Culture
같은 불황인데 펄펄 난 해외시장  반토막 국내시장 아트 머니 ,Culture
 날씨  서쪽  점차 맑은 하늘 낮 동안 선선   동해안 밤까지 가을비,Culture
 아침뉴스타임 날씨  동해안 밤까지 비 낮 기온 어제보다 높아,Culture
친근한 촌마을  친촌 과 예술 깃든 스페인 소도시들,Culture
심정지 겪은 에릭센  월드컵 맹활약   심장 제세동기 덕분 ,Culture
르노코리아    월까지         개월  전 차종 전액할부 판매,Culture
세계 사망원인  위 심혈관병  위는 ,Culture
 민주당      이 혁신했다면  조국흑서  후속작 없었겠죠 ,Culture
 축제의 도시  치앙마이서 번뇌가 사라진 순간,Culture
제철 굴을 바삭바삭 튀겨 올린 따뜻한 국수 한 그릇  쿠킹 ,Culture
 오늘의 스프    년 후 대한민국,Culture
동해안 중심으로 오전까지 비 울진 영덕에 기록적 호우,Culture
 오늘 날씨  전국 차차 맑아져 동해안은 밤까지  비 ,Culture
 밀당     혈당 관리하려면 채식해야 하나요 ,Culture
임신 중 마신 술 아기 뇌 발달 늦추고 구조도 바꾼다,Culture
 날씨  출근길 동쪽 곳곳 비 예년보다  온화 ,Culture
 오늘의 운세      년   월   일 띠별 운세,Culture
운동 전에 화장 꼭 지워야 할까 ,Culture
매일 마시는  이 커피 가 식도암 위험 높인다 ,Culture
월드컵  손흥민 크리스마스실  불티난다 펭수 모금   억 넘길까,Culture
대구 경북   월   일도 대체로 흐림 우산 챙기세요,Culture
 날씨  햇살 사라지고  구름 가득 아침기온     도,Culture
현대차가 투자한 전기슈퍼카  리막     최고시속       질주,Culture
 르포 대기 시간 없는 스키장 곤지암리조트 더  스마트  해졌네,Culture
주말의 홈트  스미스 머신 활용 하체 운동 루틴   황선주의 득근득근    헬스장 ,Culture
 여행       은빛 억새가 하늘 향해 나풀나풀 민둥산,Culture
 더 크고 고급스럽게  국내 전기차시장  덩치 경쟁  후끈 ,Culture
변비  여드름 있다면  단백질 따져보고 먹어야,Culture
 감수성 끝판왕  원태연 시인   년만에 시집  너에게 전화가 왔다   신간 ,Culture
뚱뚱하지 않아도    당뇨 위험 높은 사람은 ,Culture
갱년기에  석류   체중에도 영향 미치는 몸의 변화,Culture
 날씨  오전까지 곳곳 비 동해안 호우 피해 유의,Culture
지금의 불면증    년 후 나에게 미치는 영향,Culture
 날씨  서쪽부터 하늘 점차 맑아져   동해안 밤까지 가을비,Culture
신작 시집  내 삶의 예쁜 종아리  황인숙  고양이들에게 밥 주면서 비로소 사람을 보게 됐다   김용출의 문학삼매경 ,Culture
콩팥 질환자들이 투석 전 흔히 겪는  전조 증상 ,Culture
 날씨클릭  오전까지 전국 대부분 비 동해안 호우특보,Culture
발바닥 굳은살   이렇게  생겼다면 병원 가야,Culture
한국    강 가려면 우르과이전 어떻게,Culture
   조기검진     년 생존율 획기적 높여 연구 ,Culture
 오늘날씨  전국 대부분  비   포근한 늦가을 날씨 이어져,Culture
 출근길 날씨  동해안 오전에 강한 비 오후에 대부분지역 갬,Culture
 모르면 당한다  호텔에서 청구하는 터무니없는 추가 비용  가지,Culture
프랑스가 유일하게  꼬냑  이름 허용한 아르메니아 꼬냑,Culture
